qualification_name,sector,occupation,nsqf_level,qualification_code,minimum_education,experience_required,duration_hours
Four Wheeler Service Technician,Automotive,Automotive Service Technician,4,ASC/Q1402,10th,2 years,480
Data Entry Operator,IT-ITeS,Data Entry Operator,3,SSC/N3022,10th,No Experience,450
Tractor Service Mechanic,Agriculture,Tractor Mechanic,4,AGR/Q1108,12th,1 year,390
Tractor Service Mechanic,Agriculture,Tractor Mechanic,4,AGR/Q1108,10th,3 years,390
Self Employed Tailor,Apparel,Tailor,3,AMHQ1947,9th,No Experience,420
Self Employed Tailor,Apparel,Tailor,3,AMHQ1947,8th,1 year,420
Self Employed Tailor,Apparel,Tailor,3,AMHQ1947,5th,4 years,420
Retail Sales Associate,Retail,Retail Sales Associate,3,QG-03-OR-00410-2023-V1.1-RASCI,10th,No Experience,360
Retail Sales Associate,Retail,Retail Sales Associate,3,QG-03-OR-00410-2023-V1.1-RASCI,8th,2 years,360
Retail Sales Associate,Retail,Retail Sales Associate,3,QG-03-OR-00410-2023-V1.1-RASCI,5th,5 years,360
